Date,Open,High,Low,Close,Volume
04-03-2024 14:00,65173.3,66482.8,64566.3,66223.8,60318.576
04-03-2024 15:00,66223.7,66666.6,65880,66505.4,31381.282
04-03-2024 16:00,66505.4,66880,66100,66618.7,31910.7
04-03-2024 17:00,66618.8,67648.6,66245,66935.9,51818.964
04-03-2024 18:00,66936,67161,66156.1,66688.1,33195.135
04-03-2024 19:00,66688.2,67536.1,66365.5,67483.2,22209.124
04-03-2024 20:00,67483.2,67864,67134.2,67485.9,30132.623
04-03-2024 21:00,67485.9,67711.6,66813.1,67452.9,21983.543
04-03-2024 22:00,67452.7,68000,67301.1,67997.6,20239.005
04-03-2024 23:00,67997.5,68600,67452.5,68296.4,41999.533
05-03-2024 00:00,68296.5,68552.6,67827,68114.3,17391.663
05-03-2024 01:00,68114.3,68824.7,68063.9,68603.3,25565.873
05-03-2024 02:00,68603.4,68639.2,67800,68225.2,21665.683
05-03-2024 03:00,68225.2,68323,67616.2,68203.8,14905.459
05-03-2024 04:00,68203.7,68484.5,66963.5,67450.1,26276.145
05-03-2024 05:00,67447,67447,65021.1,67062.4,57927.191
05-03-2024 06:00,67062.4,67566.7,66700.1,67368.4,16437.834
05-03-2024 07:00,67368.5,67438.5,66179.6,66223.8,24176.113
05-03-2024 08:00,66223.8,66988.8,65600,66962.1,30806.332
05-03-2024 09:00,66962,66977.7,66149.7,66518.9,14586.824
05-03-2024 10:00,66518.9,67290.3,66518.9,66902.1,14277.359
05-03-2024 11:00,66902.1,66995.6,66555.7,66749,11365.599
05-03-2024 12:00,66749.1,67435.7,66669.5,67399.1,13538.137
05-03-2024 13:00,67399.1,68142,67383,67851.9,28979.074
05-03-2024 14:00,67851.9,68920.3,67313.4,68809.6,45244.754
05-03-2024 15:00,68809.6,69350,66484,66841.3,109731.76
05-03-2024 16:00,66839.8,67096.5,64536.6,65621.9,115561.79
05-03-2024 17:00,65621.9,65705.3,63500.1,65660.7,80669.413
05-03-2024 18:00,65660.7,65660.7,63751.8,64075.9,36854.94
05-03-2024 19:00,64075.8,64329.9,59112,61510.2,146336.141
05-03-2024 20:00,61497.3,63221.9,61202.3,61956.6,94452.067
05-03-2024 21:00,61956.7,64035.5,61940,63301.1,52838.392
05-03-2024 22:00,63301.2,63621.3,62504,63439.2,30970.372
05-03-2024 23:00,63439.3,64393.9,63272,63747.4,22466.217
06-03-2024 00:00,63747.5,64186,63420.4,63475.5,17324.732
06-03-2024 01:00,63475.5,63838.8,63132.5,63160,12768.224
06-03-2024 02:00,63159.9,63562.4,62829.3,62851.5,12727.541
06-03-2024 03:00,62851.4,63421,62833.1,63323.6,11744.74
06-03-2024 04:00,63323.6,64659.4,63313.3,64652.1,17012.526
